policy_name,table_name,roles,policy_condition
Super admins can do everything with schools,schools,{public},public.is_super_admin()
Users can view academic years of their school,academic_years,{public},"(has_any_role_in_school(auth.uid(), school_id) OR public.is_super_admin())"
School admins can insert their school's certificates,certificates,{public},null
School admins can update their school's certificates,certificates,{public},"(auth.uid() IN ( SELECT profiles.id
   FROM profiles
  WHERE ((profiles.school_id = certificates.school_id) AND (profiles.role = 'school_admin'::user_role))))"
School admins can delete their school's certificates,certificates,{public},"(auth.uid() IN ( SELECT profiles.id
   FROM profiles
  WHERE ((profiles.school_id = certificates.school_id) AND (profiles.role = 'school_admin'::user_role))))"
School admins can manage roles in their school,user_school_roles,{public},"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.school_id = user_school_roles.school_id) AND (profiles.role = 'school_admin'::user_role))))"
School admins can manage academic years,academic_years,{public},"(is_school_admin(auth.uid(), school_id) OR public.is_super_admin())"
School admins can view profiles in their school,profiles,{public},((get_current_user_role() = 'school_admin'::user_role) AND (get_current_user_school_id() = school_id))
super_admin_can_manage_all_schools,schools,{public},public.is_super_admin()
teachers_can_view_own_school,schools,{public},"(auth.uid() IN ( SELECT profiles.id
   FROM profiles
  WHERE ((profiles.school_id = schools.id) AND (profiles.role = 'teacher'::user_role))))"
Users can view batch students of their school,batch_students,{public},"((EXISTS ( SELECT 1
   FROM batches b
  WHERE ((b.id = batch_students.batch_id) AND has_any_role_in_school(auth.uid(), b.school_id)))) OR public.is_super_admin())"
School admins can manage batch students,batch_students,{public},"((EXISTS ( SELECT 1
   FROM batches b
  WHERE ((b.id = batch_students.batch_id) AND is_school_admin(auth.uid(), b.school_id)))) OR public.is_super_admin())"
Users can view their school,schools,{public},"(has_any_role_in_school(auth.uid(), id) OR public.is_super_admin())"
School admins can manage their school,schools,{public},"(is_school_admin(auth.uid(), id) OR public.is_super_admin())"
Super admins can manage all roles,user_school_roles,{public},"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'super_admin'::user_role))))"
users_can_view_their_schools,schools,{public},"(has_any_role_in_school(auth.uid(), id) OR public.is_super_admin())"
school_admins_can_manage_school,schools,{public},"(is_school_admin(auth.uid(), id) OR public.is_super_admin())"
student_details_access_policy,student_details,{public},"(has_any_role_in_school(auth.uid(), school_id) OR public.is_super_admin())"
School admins can view and update own school,schools,{public},"(EXISTS ( SELECT 1
   FROM user_school_roles
  WHERE ((user_school_roles.user_id = auth.uid()) AND (user_school_roles.school_id = schools.id) AND (user_school_roles.role = 'school_admin'::user_role))))"
departments_select_policy,departments,{public},"((auth.uid() IN ( SELECT profiles.id
   FROM profiles
  WHERE ((profiles.school_id = departments.school_id) AND (profiles.role = 'school_admin'::user_role)))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'super_admin'::user_role)))))"
departments_insert_policy,departments,{public},null
departments_update_policy,departments,{public},"((auth.uid() IN ( SELECT profiles.id
   FROM profiles
  WHERE ((profiles.school_id = departments.school_id) AND (profiles.role = 'school_admin'::user_role)))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'super_admin'::user_role)))))"
